ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Event;Medal
41450;Edvaldo Gonzaga de Oliveira;M;22.0;171.0;57.0;Brazil;BRA;2004 Summer;2004;Summer;Athina;Boxing Men's Featherweight;
41544;Jonathan Gonzlez Ortz;M;19.0;180.0;64.0;Puerto Rico;PUR;2008 Summer;2008;Summer;Beijing;Boxing Men's Light-Welterweight;
41582;Luis Alberto Gonzlez Hurtado;M;24.0;179.0;81.0;Venezuela;VEN;2008 Summer;2008;Summer;Beijing;Boxing Men's Light-Heavyweight;
42147;Batuhan Gzge;M;25.0;172.0;64.0;Turkey;TUR;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Welterweight;
42235;David Graf;M;27.0;191.0;91.0;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Heavyweight;
42472;Wilhelm Gratschow;M;25.0;165.0;57.0;Germany;GER;2008 Summer;2008;Summer;Beijing;Boxing Men's Featherweight;
42618;"Daniel Thomas ""Danny"" Green";M;27.0;183.0;81.0;Australia;AUS;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Heavyweight;
43347;Vitalie Gruac;M;23.0;176.0;72.0;Moldova;MDA;2000 Summer;2000;Summer;Sydney;Boxing Men's Welterweight;Bronze
43347;Vitalie Gruac;M;26.0;176.0;72.0;Moldova;MDA;2004 Summer;2004;Summer;Athina;Boxing Men's Welterweight;
43347;Vitalie Gruac;M;30.0;176.0;72.0;Moldova;MDA;2008 Summer;2008;Summer;Beijing;Boxing Men's Welterweight;
43436;Gu Yu;M;25.0;170.0;54.0;China;CHN;2008 Summer;2008;Summer;Beijing;Boxing Men's Bantamweight;
43590;Roberto Guerra Rivera;M;20.0;172.0;67.0;Cuba;CUB;2000 Summer;2000;Summer;Sydney;Boxing Men's Welterweight;
44174;Jorge Gutirrez Espinosa;M;24.0;180.0;71.0;Cuba;CUB;2000 Summer;2000;Summer;Sydney;Boxing Men's Middleweight;Gold
